CharacterName,WikiLink,Source,Sentiment
Abomination,Abomination (character),Marvel,5.368691328560064
Absorbing Man,Absorbing Man,Marvel,5.425738693467337
Achebe,Achebe (comics),Marvel,5.33
Agent,Agent (comics),Marvel,5.33361797752809
Agent X,Agent X (Marvel Comics),Marvel,5.328843317972351
Airstrike,Dmitri Bukharin,Marvel,5.243124999999999
Air-Walker,Air-Walker,Marvel,5.513621076233184
Liz Allan,Liz Allan,Marvel,5.459072826435675
Amatsu-Mikaboshi,Amatsu-Mikaboshi (comics),Marvel,5.3707692307692305
American Dream,American Dream (comics),Marvel,5.712879256965944
American Eagle,American Eagle (Marvel Comics),Marvel,5.472474308300395
Anaconda,Anaconda (comics),Marvel,5.33
Anarchist,X-Statix,Marvel,5.416472835314092
Ancient One,Ancient One,Marvel,5.414093925472179
Andromeda_Marvel,Andromeda (Marvel Comics),Marvel,5.468634953464323
Angel,Angel (Thomas Halloway),Marvel,5.476399358460305
Angel Dust,Angel Dust (comics),Marvel,5.7290909090909095
Angela,Angela (comics),Marvel,5.33
Dirk Anger,Dirk Anger,Marvel,5.011875000000001
Ani-Mator,Ani-Mator,Marvel,5.096315789473685
Annex,Annex (comics),Marvel,5.589230769230769
Annihilus,Annihilus,Marvel,5.378286232823439
Anole,Anole (comics),Marvel,5.33
Anthem,Anthem (comics),Marvel,5.466666666666667
Ant-Man,Ant-Man,Marvel,5.5206738035264475
Anti-Venom,Anti-Venom (symbiote),Marvel,4.938571428571429
Apache Kid,Apache Kid (comics),Marvel,5.554192256341789
Ape-Man,Ani-Men,Marvel,5.424823529411765
Apocalypse,Apocalypse (comics),Marvel,5.33
Apollo,Apollo (Marvel Comics),Marvel,5.764
Aqueduct,Aqueduct (comics),Marvel,5.418888888888889
Arabian Knight,Arabian Knight (comics),Marvel,5.577333333333333
Aragorn,Aragorn (comics),Marvel,5.4313144758735445
Arcade,Arcade (Marvel Comics),Marvel,5.364338477105996
Arclight,Arclight (comics),Marvel,5.391699846860643
Ares_Marvel,Ares (Marvel Comics),Marvel,5.302372517444981
Aries,Aries (comics),Marvel,5.33
Arkon,Arkon,Marvel,5.3380389610389605
Armadillo,Armadillo (comics),Marvel,5.409810640216411
Armor,Armor (comics),Marvel,5.4272222222222215
Arsenal_Marvel,Arsenal (Marvel Comics),Marvel,5.338322580645162
Arsenic,Gertrude Yorkes,Marvel,5.354895437262358
Asbestos Man,Asbestos Man,Marvel,5.457843137254902
Mike Asher,Mike Asher,Marvel,5.343
Asp,Asp (comics),Marvel,5.33
Vance Astro,Vance Astro,Marvel,5.412543818095689
Astronomer,Elders of the Universe,Marvel,5.515218907400232
Atalanta,Atalanta (Pantheon),Marvel,5.382272727272728
Athena,Athena (Marvel Comics),Marvel,5.391795992714026
Atlas,Erik Josten,Marvel,5.384862183020949
Attuma,Attuma,Marvel,5.413023591718825
Aurora,Aurora (comics),Marvel,5.390015974440894
Avalanche,Avalanche (comics),Marvel,5.33
Awesome Android,Awesome Android,Marvel,5.431492109038738
Azazel,Azazel (Marvel Comics),Marvel,5.393691945914168
Azzuri,Azzuri (comics),Marvel,5.295882352941176
Bruce Banner,Bruce Banner,Marvel,5.2867999999999995
Rebecca Banner,Rebecca Banner,Marvel,5.299820872274143
Brian Banner,Brian Banner,Marvel,5.316833723653395
Baron Blood,Baron Blood,Marvel,5.364317963496638
Baron Brimstone,Baron Brimstone,Marvel,5.351551724137931
Baron Mordo,Baron Mordo,Marvel,5.337392550143266
Baron Zemo,Baron Zemo,Marvel,5.398963548528767
Barracuda,Barracuda (comics),Marvel,5.478461538461539
Barrage,Dark Riders (comics),Marvel,5.300344827586207
Turk Barrett,Turk Barrett,Marvel,5.339584317430326
Breeze Barton,Breeze Barton,Marvel,5.48491043203372
Bast,Bast (Marvel Comics),Marvel,5.632872788542544
Bastion,Bastion (comics),Marvel,5.327375105842506
Batroc the Leaper,Batroc the Leaper,Marvel,5.441279540850776
Battlestar,Battlestar (comics),Marvel,5.301428571428572
Batwing_Marvel,Batwing (Marvel Comics),Marvel,5.386556359875905
Baymax,Baymax,Marvel,5.594418084153984
Beast,Beast (comics),Marvel,5.196315789473684
Beautiful Dreamer,Beautiful Dreamer (Marvel Comics),Marvel,5.536581920903955
Bedlam,Bedlam (comics),Marvel,5.421353846153846
Beef,Beef (comics),Marvel,5.686666666666666
Beetle,Beetle (comics),Marvel,5.425828220858897
Bela,Bela (comics),Marvel,5.403823529411764
Belasco,Belasco (Marvel Comics),Marvel,5.373828828828829
Bella Donna,Bella Donna (comics),Marvel,5.3963286384976525
Bengal,Bengal (comics),Marvel,5.376692111959287
Dexter Bennett,Dexter Bennett,Marvel,5.220416666666667
Bereet,Bereet,Marvel,5.559653284671533
Berzerker,Berzerker (comics),Marvel,5.737499999999999
Beta Ray Bill,Beta Ray Bill,Marvel,5.3069181748661745
Beyonder,Beyonder,Marvel,5.340736957314848
Bi-Beast,Bi-Beast,Marvel,5.356572700296736
Big Bertha,Big Bertha (comics),Marvel,5.4510496292070725
Big Man,Big Man (comics),Marvel,5.362648275862069
Big Wheel,Big Wheel (comics),Marvel,5.457619047619048
Bird-Brain,Bird-Brain (Marvel Comics),Marvel,5.604619289340101
Bird-Man,Bird-Man,Marvel,5.58
Bishop,Bishop (Marvel Comics),Marvel,5.32594623089088
Bison,Bison (comics),Marvel,5.149444444444445
Black Ant,Eric O'Grady,Marvel,5.370289439374186
Black Bolt,Black Bolt,Marvel,5.428008006924909
Black Box,Black Box (comics),Marvel,5.4879999999999995
Black Cat,Black Cat (Marvel Comics),Marvel,5.49914631309607
Black Crow,Black Crow (comics),Marvel,5.431789652247668
Black Fox,Black Fox (Raul Chalmers),Marvel,5.390769230769231
Black Jack Tarr,Black Jack Tarr,Marvel,5.342738853503184
Black Knight,Black Knight (comics),Marvel,5.495294117647059
Black Mamba,Black Mamba (comics),Marvel,5.282631578947368
Black Marvel,Black Marvel,Marvel,5.407153338224505
Black Panther,Black Panther (character),Marvel,5.489691284625887
Black Racer,Black Racer (Marvel Comics),Marvel,5.418181818181819
Black Rider,Black Rider (comics),Marvel,5.358571428571428
Black Spectre,Black Spectre (Carson Knowles),Marvel,5.153333333333333
Black Swan,Black Swan (comics),Marvel,5.345648060548723
Black Talon,Black Talon (comics),Marvel,5.301177664974619
Black Tarantula,Black Tarantula,Marvel,5.3320835380835385
Black Tom Cassidy,Black Tom Cassidy,Marvel,5.384720792079209
Black Widow,Black Widow (Marvel Comics),Marvel,5.410073664825045
Blackheart,Blackheart,Marvel,5.388200728029121
Blacklash,Whiplash (Mark Scarlotti),Marvel,5.5311111111111115
Blacklight,Blacklight (MC2),Marvel,5.171904761904762
Blackout,Blackout (Marcus Daniels),Marvel,5.4028392109982075
Blackwing,Blackwing (character),Marvel,5.432352398523985
Blade,Blade (character),Marvel,5.356331511376637
Donald Blake,Thor (Marvel Comics),Marvel,5.4872044794691
Blank,Blank (comics),Marvel,5.538
Blastaar,Blastaar,Marvel,5.27862684729064
